fulcrum_id,q1_site,q2_district,survey_site,deidentified_village,q6_communities,q7_protected_area,q8_travel_time_muncipal_admin,q9_public_trans_freq,q10_time_dist_headquarter,q11_walk_time_all_weather_road,q12_travel_time_higher_secondary,q13_subcenter_walk_time,q14_phc_travel_time,q15_taluk_hosp,q16_priv_clinic,q17_priv_hospital,q18_regular_electric,q19_solar_supply,q20_avg_pow_sup,q21_drinking_water_yard,q22_no_public_tanks,hand_pump,spring_water,q24_surface,q25_water_collect_time,q26_ro_plant,q27_non_tribal,q28_tribal_population,latitude,longitude
003dc0ef-5d11-4410-afbe-f14ce75d6c41,Central India,Kanha,Kanha,KanhaR762,mix,Outside,60,3,200,0,30,30,30,60,30,200,90,0,22,0,0,,0,0,10,0,75.0,750,22.2843025,80.766193
24ce4e0c-d40a-4fd8-8ad2-1e0f71a4260a,Central India,Kanha,Kanha,KanhaA532,mix,Outside,90,0,120,30,30,10,30,90,120,120,100,0,22,0,0,7.0,0,0,20,0,30.0,565,22.0446903,80.9167508
8ebbbfc1-4151-44e6-9ad2-b386bec1f0f2,Central India,Kanha,Kanha,Kanha`278,mix,Outside,30,5,120,0,0,0,30,30,30,30,100,0,22,50,0,,0,0,10,0,250.0,1500,22.4603802,80.5887672
173445a2-fe39-4f5d-ac4e-db5e2e77289f,Central India,Kanha,Kanha,Kanha[137,mix,Outside,60,6,90,0,10,10,60,60,60,90,100,0,23,40,10,,0,0,10,0,190.0,1050,22.5129023,80.4808658
b9d72004-4e91-4a52-8cff-0d85108b5d8c,Central India,Kanha,Kanha,KanhaL323,mix,Outside,90,0,240,30,45,60,60,90,60,240,90,0,18,0,0,4.0,0,0,20,0,216.0,630,22.1970847,80.7643445
a9e94ca4-bd00-4bcf-b3d3-66d7698d4e6f,Central India,Kanha,Kanha,KanhaL234,mix,Inside,120,0,180,45,60,30,60,120,120,180,90,0,22,0,0,10.0,0,0,20,0,196.0,140,22.4107182,80.4693596
5bea6631-a6a6-47b3-b7ed-3b82b3c8cf29,Central India,Kanha,Kanha,KanhaA670,mix,Outside,30,1,180,0,0,10,30,30,30,180,100,0,20,0,0,12.0,0,0,10,0,538.0,300,22.1160084,80.7275673
f948ac1a-6587-4bb2-b99a-120e5d277e1a,Central India,Kanha,Kanha,KanhaP760,mix,Outside,120,4,240,0,10,60,30,90,30,240,75,5,20,0,20,,0,0,20,0,250.0,856,22.298144,80.7745902
1405251e-7d02-4642-a20a-5a82e46a45da,Central India,Kanha,Kanha,Kanhac933,mix,Outside,180,0,240,20,60,60,60,180,60,240,100,0,20,0,0,1.0,0,0,30,0,690.0,40,22.3060757,80.7657017
bc80f67f-99ba-4a53-8e1e-ed652a840b47,Central India,Kanha,Kanha,KanhaD276,mix,Outside,60,2,300,0,20,0,20,60,60,300,100,0,22,30,1,12.0,0,0,10,0,630.0,218,22.2500762,80.4926105
